Date,Produk,Kategori_MAE,Actual_Sales,Predicted_Sales,Error,Absolute_Error
2025-11-25,GB-BB-10,tinggi,0.0,0.12,-0.12,0.12
2025-11-26,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-11-27,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-11-28,GB-BB-10,tinggi,0.0,0.1,-0.1,0.1
2025-11-29,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-11-30,GB-BB-10,tinggi,0.0,0.1,-0.1,0.1
2025-12-01,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-02,GB-BB-10,tinggi,0.0,0.1,-0.1,0.1
2025-12-03,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-04,GB-BB-10,tinggi,0.0,0.1,-0.1,0.1
2025-12-05,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-06,GB-BB-10,tinggi,0.0,0.1,-0.1,0.1
2025-12-07,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-08,GB-BB-10,tinggi,0.0,0.1,-0.1,0.1
2025-12-09,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-10,GB-BB-10,tinggi,0.0,0.1,-0.1,0.1
2025-12-11,GB-BB-10,tinggi,1.0,0.11,0.89,0.89
2025-12-12,GB-BB-10,tinggi,0.0,0.1,-0.1,0.1
2025-12-13,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-14,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-15,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-16,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-17,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-18,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-19,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-20,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-21,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-22,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-23,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-24,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-25,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-26,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-27,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-28,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-29,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-30,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-31,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-11-25,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-11-26,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-11-27,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-11-28,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-11-29,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-11-30,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-01,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-02,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-03,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-04,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-05,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-06,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-07,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-08,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-09,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-10,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-11,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-12,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-13,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-14,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-15,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-16,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-17,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-18,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-19,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-20,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-21,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-22,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-23,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-24,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-25,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-26,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-27,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-28,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-29,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-30,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-12-31,GB-BB-30,menengah,0.0,0.04,-0.04,0.04
2025-11-25,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-11-26,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-11-27,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-11-28,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-11-29,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-11-30,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-01,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-02,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-03,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-04,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-05,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-06,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-07,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-08,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-09,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-10,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-11,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-12,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-13,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-14,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-15,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-16,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-17,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-18,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-19,GB-TP-CC,tinggi,1.0,0.07,0.93,0.93
2025-12-20,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-21,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-22,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-23,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-24,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-25,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-26,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-27,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-28,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-29,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-30,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-31,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-11-25,GB-CNF-30,tinggi,0.0,0.2,-0.2,0.2
2025-11-26,GB-CNF-30,tinggi,0.0,0.95,-0.95,0.95
2025-11-27,GB-CNF-30,tinggi,0.0,0.26,-0.26,0.26
2025-11-28,GB-CNF-30,tinggi,0.0,0.92,-0.92,0.92
2025-11-29,GB-CNF-30,tinggi,0.0,0.29,-0.29,0.29
2025-11-30,GB-CNF-30,tinggi,0.0,0.88,-0.88,0.88
2025-12-01,GB-CNF-30,tinggi,0.0,0.33,-0.33,0.33
2025-12-02,GB-CNF-30,tinggi,0.0,0.85,-0.85,0.85
2025-12-03,GB-CNF-30,tinggi,0.0,0.36,-0.36,0.36
2025-12-04,GB-CNF-30,tinggi,0.0,0.82,-0.82,0.82
2025-12-05,GB-CNF-30,tinggi,0.0,0.38,-0.38,0.38
2025-12-06,GB-CNF-30,tinggi,0.0,0.8,-0.8,0.8
2025-12-07,GB-CNF-30,tinggi,0.0,0.41,-0.41,0.41
2025-12-08,GB-CNF-30,tinggi,0.0,0.78,-0.78,0.78
2025-12-09,GB-CNF-30,tinggi,0.0,0.43,-0.43,0.43
2025-12-10,GB-CNF-30,tinggi,0.0,0.76,-0.76,0.76
2025-12-11,GB-CNF-30,tinggi,0.0,0.45,-0.45,0.45
2025-12-12,GB-CNF-30,tinggi,4.0,0.74,3.26,3.26
2025-12-13,GB-CNF-30,tinggi,2.0,0.46,1.54,1.54
2025-12-14,GB-CNF-30,tinggi,0.0,0.72,-0.72,0.72
2025-12-15,GB-CNF-30,tinggi,0.0,0.48,-0.48,0.48
2025-12-16,GB-CNF-30,tinggi,4.0,0.71,3.29,3.29
2025-12-17,GB-CNF-30,tinggi,0.0,0.49,-0.49,0.49
2025-12-18,GB-CNF-30,tinggi,0.0,0.7,-0.7,0.7
2025-12-19,GB-CNF-30,tinggi,0.0,0.5,-0.5,0.5
2025-12-20,GB-CNF-30,tinggi,0.0,0.69,-0.69,0.69
2025-12-21,GB-CNF-30,tinggi,0.0,0.51,-0.51,0.51
2025-12-22,GB-CNF-30,tinggi,0.0,0.68,-0.68,0.68
2025-12-23,GB-CNF-30,tinggi,3.0,0.52,2.48,2.48
2025-12-24,GB-CNF-30,tinggi,0.0,0.67,-0.67,0.67
2025-12-25,GB-CNF-30,tinggi,0.0,0.53,-0.53,0.53
2025-12-26,GB-CNF-30,tinggi,0.0,0.66,-0.66,0.66
2025-12-27,GB-CNF-30,tinggi,0.0,0.54,-0.54,0.54
2025-12-28,GB-CNF-30,tinggi,0.0,0.65,-0.65,0.65
2025-12-29,GB-CNF-30,tinggi,0.0,0.54,-0.54,0.54
2025-12-30,GB-CNF-30,tinggi,3.0,0.65,2.35,2.35
2025-12-31,GB-CNF-30,tinggi,0.0,0.55,-0.55,0.55
2025-11-25,GB-CNF-10,tinggi,11.0,2.53,8.47,8.47
2025-11-26,GB-CNF-10,tinggi,9.0,1.94,7.06,7.06
2025-11-27,GB-CNF-10,tinggi,0.0,2.37,-2.37,2.37
2025-11-28,GB-CNF-10,tinggi,0.0,1.95,-1.95,1.95
2025-11-29,GB-CNF-10,tinggi,30.0,2.33,27.67,27.67
2025-11-30,GB-CNF-10,tinggi,0.0,1.98,-1.98,1.98
2025-12-01,GB-CNF-10,tinggi,0.0,2.3,-2.3,2.3
2025-12-02,GB-CNF-10,tinggi,0.0,2.01,-2.01,2.01
2025-12-03,GB-CNF-10,tinggi,0.0,2.27,-2.27,2.27
2025-12-04,GB-CNF-10,tinggi,0.0,2.04,-2.04,2.04
2025-12-05,GB-CNF-10,tinggi,0.0,2.25,-2.25,2.25
2025-12-06,GB-CNF-10,tinggi,0.0,2.06,-2.06,2.06
2025-12-07,GB-CNF-10,tinggi,13.0,2.23,10.77,10.77
2025-12-08,GB-CNF-10,tinggi,2.0,2.07,-0.07,0.07
2025-12-09,GB-CNF-10,tinggi,3.0,2.22,0.78,0.78
2025-12-10,GB-CNF-10,tinggi,0.0,2.09,-2.09,2.09
2025-12-11,GB-CNF-10,tinggi,0.0,2.21,-2.21,2.21
2025-12-12,GB-CNF-10,tinggi,0.0,2.1,-2.1,2.1
2025-12-13,GB-CNF-10,tinggi,0.0,2.2,-2.2,2.2
2025-12-14,GB-CNF-10,tinggi,0.0,2.11,-2.11,2.11
2025-12-15,GB-CNF-10,tinggi,0.0,2.19,-2.19,2.19
2025-12-16,GB-CNF-10,tinggi,0.0,2.11,-2.11,2.11
2025-12-17,GB-CNF-10,tinggi,3.0,2.18,0.82,0.82
2025-12-18,GB-CNF-10,tinggi,0.0,2.12,-2.12,2.12
2025-12-19,GB-CNF-10,tinggi,0.0,2.18,-2.18,2.18
2025-12-20,GB-CNF-10,tinggi,0.0,2.12,-2.12,2.12
2025-12-21,GB-CNF-10,tinggi,0.0,2.17,-2.17,2.17
2025-12-22,GB-CNF-10,tinggi,7.0,2.13,4.87,4.87
2025-12-23,GB-CNF-10,tinggi,0.0,2.17,-2.17,2.17
2025-12-24,GB-CNF-10,tinggi,12.0,2.13,9.87,9.87
2025-12-25,GB-CNF-10,tinggi,0.0,2.16,-2.16,2.16
2025-12-26,GB-CNF-10,tinggi,7.0,2.14,4.86,4.86
2025-12-27,GB-CNF-10,tinggi,0.0,2.16,-2.16,2.16
2025-12-28,GB-CNF-10,tinggi,0.0,2.14,-2.14,2.14
2025-12-29,GB-CNF-10,tinggi,0.0,2.16,-2.16,2.16
2025-12-30,GB-CNF-10,tinggi,0.0,2.14,-2.14,2.14
2025-12-31,GB-CNF-10,tinggi,2.0,2.16,-0.16,0.16
2025-11-25,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-11-26,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-11-27,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-11-28,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-11-29,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-11-30,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-01,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-02,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-03,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-04,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-05,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-06,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-07,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-08,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-09,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-10,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-11,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-12,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-13,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-14,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-15,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-16,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-17,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-18,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-19,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-20,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-21,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-22,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-23,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-24,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-25,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-26,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-27,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-28,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-29,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-30,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-31,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-11-25,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-11-26,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-11-27,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-11-28,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-11-29,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-11-30,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-01,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-02,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-03,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-04,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-05,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-06,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-07,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-08,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-09,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-10,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-11,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-12,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-13,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-14,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-15,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-16,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-17,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-18,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-19,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-20,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-21,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-22,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-23,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-24,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-25,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-26,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-27,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-28,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-29,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-30,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-31,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-11-25,GB-DS-30,tinggi,0.0,0.01,-0.01,0.01
2025-11-26,GB-DS-30,tinggi,0.0,0.04,-0.04,0.04
2025-11-27,GB-DS-30,tinggi,0.0,0.02,-0.02,0.02
2025-11-28,GB-DS-30,tinggi,0.0,0.04,-0.04,0.04
2025-11-29,GB-DS-30,tinggi,0.0,0.03,-0.03,0.03
2025-11-30,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-01,GB-DS-30,tinggi,0.0,0.04,-0.04,0.04
2025-12-02,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-03,GB-DS-30,tinggi,0.0,0.04,-0.04,0.04
2025-12-04,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-05,GB-DS-30,tinggi,0.0,0.04,-0.04,0.04
2025-12-06,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-07,GB-DS-30,tinggi,0.0,0.04,-0.04,0.04
2025-12-08,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-09,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-10,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-11,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-12,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-13,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-14,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-15,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-16,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-17,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-18,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-19,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-20,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
